"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence","shape_dist_traveled"
"Milano Porta Garibaldi-Chiasso","45.646111","9.203005","11",""
"Milano Porta Garibaldi-Chiasso","45.668437","9.133499","12",""
"Milano Porta Garibaldi-Chiasso","45.697212","9.107328","13",""
"Milano Porta Garibaldi-Chiasso","45.716224","9.099464","14",""
"Milano Porta Garibaldi-Chiasso","45.740867","9.08211","15",""
"Milano Porta Garibaldi-Chiasso","45.776872","9.073108","16",""
"Milano Porta Garibaldi-Chiasso","45.809099","9.072701","17",""
"Milano Porta Garibaldi-Chiasso","45.834719","9.031944","18",""
"Milano Porta Garibaldi-Lecco","45.484597","9.187596","2",""
"Milano Porta Garibaldi-Lecco","45.512914","9.214186","3",""
"Milano Porta Garibaldi-Lecco","45.54131","9.238933","4",""
