"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","drop_off_type","shape_dist_traveled"
"1_0_21","15:07:00","15:07:00","S01825","25","","0","0",""
"1_0_22","14:08:00","14:08:00","S01933","1","","0","0",""
"1_0_22","14:11:00","14:11:00","S01077","2","","0","0",""
"1_0_22","14:14:00","14:14:00","S01076","3","","0","0",""
"1_0_22","14:15:00","14:15:00","S01075","4","","0","0",""
"1_0_22","14:18:00","14:18:00","S01074","5","","0","0",""
"1_0_22","14:22:00","14:22:00","S01072","7","","0","0",""
"1_0_22","14:25:00","14:25:00","S01071","8","","0","0",""
"1_0_22","14:28:00","14:28:00","S01070","9","","0","0",""
"1_0_22","14:31:00","14:31:00","S01069","10","","0","0",""
"1_0_22","14:36:00","14:36:00","S01642","11","","0","0",""
"1_0_22","14:42:00","14:42:00","S01643","12","","0","0",""
"1_0_22","14:45:00","14:45:00","S01645","13","","0","0",""
"1_0_22","14:47:00","14:47:00","S01648","14","","0","0",""
"1_0_22","14:49:00","14:49:00","S01649","15","","0","0",""
"1_0_22","14:52:00","14:52:00","S01650","16","","0","0",""
"1_0_22","14:56:00","14:56:00","S01633","17","","0","0",""
"1_0_22","15:05:00","15:05:00","S01820","18","","0","0",""
"1_0_22","15:10:00","15:10:00","S01624","19","","0","0",""
"1_0_22","15:13:00","15:13:00","S01830","20","","0","0",""
"1_0_22","15:16:00","15:16:00","S01821","21","","0","0",""
"1_0_22","15:20:00","15:20:00","S01822","22","","0","0",""
"1_0_22","15:25:00","15:25:00","S01823","23","","0","0",""
"1_0_22","15:31:00","15:31:00","S01824","24","","0","0",""
"1_0_22","15:37:00","15:37:00","S01825","25","","0","0",""
"1_0_23","14:38:00","14:38:00","S01933","1","","0","0",""
"1_0_23","14:41:00","14:41:00","S01077","2","","0","0",""
"1_0_23","14:44:00","14:44:00","S01076","3","","0","0",""
"1_0_23","14:45:00","14:45:00","S01075","4","","0","0",""
"1_0_23","14:48:00","14:48:00","S01074","5","","0","0",""
"1_0_23","14:52:00","14:52:00","S01072","7","","0","0",""
"1_0_23","14:55:00","14:55:00","S01071","8","","0","0",""
"1_0_23","14:58:00","14:58:00","S01070","9","","0","0",""
"1_0_23","15:01:00","15:01:00","S01069","10","","0","0",""
"1_0_23","15:06:00","15:06:00","S01642","11","","0","0",""
"1_0_23","15:12:00","15:12:00","S01643","12","","0","0",""
"1_0_23","15:15:00","15:15:00","S01645","13","","0","0",""
"1_0_23","15:17:00","15:17:00","S01648","14","","0","0",""
"1_0_23","15:19:00","15:19:00","S01649","15","","0","0",""
"1_0_23","15:22:00","15:22:00","S01650","16","","0","0",""
"1_0_23","15:26:00","15:26:00","S01633","17","","0","0",""
"1_0_23","15:35:00","15:35:00","S01820","18","","0","0",""
"1_0_23","15:40:00","15:40:00","S01624","19","","0","0",""
"1_0_23","15:43:00","15:43:00","S01830","20","","0","0",""
"1_0_23","15:46:00","15:46:00","S01821","21","","0","0",""
"1_0_23","15:50:00","15:50:00","S01822","22","","0","0",""
"1_0_23","15:55:00","15:55:00","S01823","23","","0","0",""
"1_0_23","16:01:00","16:01:00","S01824","24","","0","0",""
"1_0_23","16:07:00","16:07:00","S01825","25","","0","0",""
"1_0_24","15:08:00","15:08:00","S01933","1","","0","0",""
"1_0_24","15:11:00","15:11:00","S01077","2","","0","0",""
"1_0_24","15:14:00","15:14:00","S01076","3","","0","0",""
"1_0_24","15:15:00","15:15:00","S01075","4","","0","0",""
"1_0_24","15:18:00","15:18:00","S01074","5","","0","0",""
"1_0_24","15:22:00","15:22:00","S01072","7","","0","0",""
"1_0_24","15:25:00","15:25:00","S01071","8","","0","0",""
"1_0_24","15:28:00","15:28:00","S01070","9","","0","0",""
"1_0_24","15:31:00","15:31:00","S01069","10","","0","0",""
"1_0_24","15:36:00","15:36:00","S01642","11","","0","0",""
"1_0_24","15:42:00","15:42:00","S01643","12","","0","0",""
"1_0_24","15:45:00","15:45:00","S01645","13","","0","0",""
"1_0_24","15:47:00","15:47:00","S01648","14","","0","0",""
"1_0_24","15:49:00","15:49:00","S01649","15","","0","0",""
"1_0_24","15:52:00","15:52:00","S01650","16","","0","0",""
"1_0_24","15:56:00","15:56:00","S01633","17","","0","0",""
"1_0_24","16:05:00","16:05:00","S01820","18","","0","0",""
"1_0_24","16:10:00","16:10:00","S01624","19","","0","0",""
"1_0_24","16:13:00","16:13:00","S01830","20","","0","0",""
"1_0_24","16:16:00","16:16:00","S01821","21","","0","0",""
"1_0_24","16:20:00","16:20:00","S01822","22","","0","0",""
"1_0_24","16:25:00","16:25:00","S01823","23","","0","0",""
"1_0_24","16:31:00","16:31:00","S01824","24","","0","0",""
"1_0_24","16:37:00","16:37:00","S01825","25","","0","0",""
"1_0_25","15:38:00","15:38:00","S01933","1","","0","0",""
"1_0_25","15:41:00","15:41:00","S01077","2","","0","0",""
"1_0_25","15:44:00","15:44:00","S01076","3","","0","0",""
"1_0_25","15:45:00","15:45:00","S01075","4","","0","0",""
"1_0_25","15:48:00","15:48:00","S01074","5","","0","0",""
"1_0_25","15:52:00","15:52:00","S01072","7","","0","0",""
"1_0_25","15:55:00","15:55:00","S01071","8","","0","0",""
"1_0_25","15:58:00","15:58:00","S01070","9","","0","0",""
"1_0_25","16:01:00","16:01:00","S01069","10","","0","0",""
"1_0_25","16:06:00","16:06:00","S01642","11","","0","0",""
"1_0_25","16:12:00","16:12:00","S01643","12","","0","0",""
"1_0_25","16:15:00","16:15:00","S01645","13","","0","0",""
"1_0_25","16:17:00","16:17:00","S01648","14","","0","0",""
"1_0_25","16:19:00","16:19:00","S01649","15","","0","0",""
"1_0_25","16:22:00","16:22:00","S01650","16","","0","0",""
"1_0_25","16:26:00","16:26:00","S01633","17","","0","0",""
"1_0_25","16:35:00","16:35:00","S01820","18","","0","0",""
"1_0_25","16:40:00","16:40:00","S01624","19","","0","0",""
"1_0_25","16:43:00","16:43:00","S01830","20","","0","0",""
"1_0_25","16:46:00","16:46:00","S01821","21","","0","0",""
"1_0_25","16:50:00","16:50:00","S01822","22","","0","0",""
"1_0_25","16:55:00","16:55:00","S01823","23","","0","0",""
"1_0_25","17:01:00","17:01:00","S01824","24","","0","0",""
"1_0_25","17:07:00","17:07:00","S01825","25","","0","0",""
"1_0_26","16:08:00","16:08:00","S01933","1","","0","0",""
"1_0_26","16:11:00","16:11:00","S01077","2","","0","0",""
"1_0_26","16:14:00","16:14:00","S01076","3","","0","0",""
"1_0_26","16:15:00","16:15:00","S01075","4","","0","0",""
"1_0_26","16:18:00","16:18:00","S01074","5","","0","0",""
"1_0_26","16:22:00","16:22:00","S01072","7","","0","0",""
"1_0_26","16:25:00","16:25:00","S01071","8","","0","0",""
"1_0_26","16:28:00","16:28:00","S01070","9","","0","0",""
"1_0_26","16:31:00","16:31:00","S01069","10","","0","0",""
"1_0_26","16:36:00","16:36:00","S01642","11","","0","0",""
"1_0_26","16:42:00","16:42:00","S01643","12","","0","0",""
"1_0_26","16:45:00","16:45:00","S01645","13","","0","0",""
"1_0_26","16:47:00","16:47:00","S01648","14","","0","0",""
"1_0_26","16:49:00","16:49:00","S01649","15","","0","0",""
"1_0_26","16:52:00","16:52:00","S01650","16","","0","0",""
"1_0_26","16:56:00","16:56:00","S01633","17","","0","0",""
"1_0_26","17:05:00","17:05:00","S01820","18","","0","0",""
"1_0_26","17:10:00","17:10:00","S01624","19","","0","0",""
"1_0_26","17:13:00","17:13:00","S01830","20","","0","0",""
"1_0_26","17:16:00","17:16:00","S01821","21","","0","0",""
"1_0_26","17:20:00","17:20:00","S01822","22","","0","0",""
"1_0_26","17:25:00","17:25:00","S01823","23","","0","0",""
"1_0_26","17:31:00","17:31:00","S01824","24","","0","0",""
"1_0_26","17:37:00","17:37:00","S01825","25","","0","0",""
"1_0_27","16:38:00","16:38:00","S01933","1","","0","0",""
"1_0_27","16:41:00","16:41:00","S01077","2","","0","0",""
"1_0_27","16:44:00","16:44:00","S01076","3","","0","0",""
"1_0_27","16:45:00","16:45:00","S01075","4","","0","0",""
"1_0_27","16:48:00","16:48:00","S01074","5","","0","0",""
"1_0_27","16:52:00","16:52:00","S01072","7","","0","0",""
"1_0_27","16:55:00","16:55:00","S01071","8","","0","0",""
"1_0_27","16:58:00","16:58:00","S01070","9","","0","0",""
"1_0_27","17:01:00","17:01:00","S01069","10","","0","0",""
"1_0_27","17:06:00","17:06:00","S01642","11","","0","0",""
"1_0_27","17:12:00","17:12:00","S01643","12","","0","0",""
